model,cv_macro_f1_mean,cv_macro_f1_std,test_macro_f1,test_accuracy,best_params
GradientBoosting,0.6608177465809046,0.05905369284185824,0.7103352062072391,0.77,"{""clf__learning_rate"": 0.2525192044349383, ""clf__max_depth"": 2, ""clf__n_estimators"": 152, ""clf__subsample"": 0.6923575302488596}"
ExtraTrees,0.6680177222125041,0.023264549816293507,0.6739037888463176,0.74,"{""clf__max_depth"": 10, ""clf__max_features"": ""log2"", ""clf__min_samples_leaf"": 1, ""clf__min_samples_split"": 8, ""clf__n_estimators"": 400}"
RandomForest,0.666789301906949,0.022072850076330145,0.6364529011040639,0.72,"{""clf__max_depth"": 14, ""clf__max_features"": ""sqrt"", ""clf__min_samples_leaf"": 4, ""clf__min_samples_split"": 9, ""clf__n_estimators"": 301}"
SVM_RBF,0.651753847175842,0.016612212213225994,0.6221426888181926,0.7,"{""clf__C"": 1.4949386065204184, ""clf__gamma"": ""auto"", ""clf__kernel"": ""rbf""}"
KNN,0.6558252368914638,0.03172962959201792,0.6215963350109691,0.71,"{""clf__n_neighbors"": 4, ""clf__p"": 2, ""clf__weights"": ""distance""}"
